Start,End,Total duration,Alarm text,Alarm class
01/10/2018 23:35,01/10/2018 23:35,25,c,O
01/10/2018 23:36,01/10/2018 23:37,21,a,S
01/10/2018 23:36,01/10/2018 23:37,16,c,O
01/10/2018 23:45,02/10/2018 00:13,1680,b,E
01/10/2018 23:45,02/10/2018 00:13,1680,a,S
02/10/2018 00:15,02/10/2018 00:16,78,a,S
02/10/2018 00:17,02/10/2018 00:20,156,a,S
02/10/2018 00:26,02/10/2018 00:27,62,a,S
02/10/2018 01:54,02/10/2018 01:54,2,a,S
02/10/2018 01:55,02/10/2018 01:57,82,a,S
02/10/2018 02:25,02/10/2018 02:25,11,a,S
02/10/2018 02:25,02/10/2018 02:25,6,c,O
02/10/2018 02:29,02/10/2018 02:45,904,a,S
02/10/2018 02:30,02/10/2018 02:45,900,b,E
02/10/2018 02:30,02/10/2018 02:30,4,c,O
02/10/2018 02:48,02/10/2018 02:48,16,a,S
02/10/2018 02:48,02/10/2018 02:48,12,c,O
02/10/2018 03:12,02/10/2018 03:17,291,a,S
02/10/2018 03:12,02/10/2018 03:17,286,c,O
02/10/2018 03:18,02/10/2018 03:29,642,a,S
02/10/2018 03:18,02/10/2018 03:29,637,c,O
02/10/2018 03:30,02/10/2018 03:32,102,a,S
02/10/2018 03:30,02/10/2018 03:32,97,c,O
02/10/2018 03:33,02/10/2018 03:35,139,a,S
02/10/2018 03:33,02/10/2018 03:35,134,c,O
02/10/2018 03:36,02/10/2018 03:37,20,a,S
02/10/2018 03:36,02/10/2018 03:37,15,c,O
02/10/2018 03:39,02/10/2018 03:39,4,a,S
02/10/2018 03:40,02/10/2018 03:45,284,a,S
02/10/2018 03:40,02/10/2018 03:45,281,c,O
02/10/2018 03:46,02/10/2018 03:46,29,a,S
02/10/2018 03:46,02/10/2018 03:46,24,c,O
02/10/2018 03:47,02/10/2018 03:48,18,a,S
02/10/2018 03:48,02/10/2018 03:48,14,c,O
02/10/2018 03:49,02/10/2018 03:50,54,a,S
02/10/2018 03:49,02/10/2018 03:50,49,c,O
02/10/2018 03:51,02/10/2018 03:51,1,a,S
02/10/2018 03:52,02/10/2018 03:52,6,a,S
02/10/2018 03:52,02/10/2018 03:52,1,c,O
02/10/2018 03:53,02/10/2018 03:54,19,a,S
02/10/2018 03:53,02/10/2018 03:54,14,c,O
02/10/2018 03:55,02/10/2018 03:55,5,a,S
02/10/2018 03:55,02/10/2018 03:55,1,c,O
02/10/2018 03:56,02/10/2018 03:57,49,a,S
02/10/2018 03:56,02/10/2018 03:57,44,c,O
02/10/2018 03:59,02/10/2018 03:59,1,a,S
